"Release_poly","Settlement_poly","Distance","Count"
650,415,691.905076033809,404
650,458,457.446559316931,60529
650,459,466.58126495163,29271
650,460,509.612697293413,10295
650,461,547.70059190888,411
650,506,352.994623726772,24273
650,553,236.623871180317,170672
650,554,222.697311863386,9052
650,602,121.057311863386,32755
650,651,60.3276387736169,76
650,699,126.797961544297,2515
650,700,178.45479597795,1747
650,701,219.904826014255,1364
650,702,276.342916320851,450
650,703,332.781006627446,23
650,747,230.195806770476,742
650,748,251.0224004976,810
650,749,273.327058556452,111
650,750,293.465208935657,1
651,412,547.997331859732,7076
651,413,578.520377099106,3903
651,414,616.608271714573,1184
651,415,654.945076033809,56
651,458,420.486559316931,35884
651,459,429.62126495163,13617
651,460,472.652697293413,4244
651,461,510.74059190888,69
651,506,319.783871180317,16280
651,553,212.889103634038,201382
651,554,191.361183043704,13096
651,602,93.8117098627255,84155
651,650,60.3276387736169,118109
651,699,167.145555146288,3651
651,700,215.776449829504,1695
651,701,257.226479865809,813
651,702,313.664570172404,172
651,703,370.102660479,1
651,747,274.633927191489,343
651,748,291.369994099591,500
651,749,310.648712408006,37
653,412,815.143714760405,90
653,413,845.66675999978,10
653,458,689.507565944378,7115
653,459,696.767647852304,1284
653,460,739.799080194087,186
653,461,777.886974809554,1
653,506,585.055630354219,2615
653,553,472.434125261309,99613
653,554,456.632942217605,5733
653,602,354.992942217605,64197
653,607,169.221258329747,1
653,650,243.744826014255,148326
653,651,281.066479865809,7168
653,654,48.0438193868084,8913
653,655,108.007638773617,16895
653,656,143.767638773617,3094
653,699,165.173367853829,77494
653,700,119.391217375783,28881
653,701,77.669247453545,19547
653,702,74.3943979993393,24056
653,703,114.331458160425,26827
653,704,171.133367853829,14001
653,747,233.431882113903,8111
653,748,198.618836952642,8042
653,749,171.943871180317,3234
653,750,142.349247453545,781
653,751,214.354243262174,17
653,752,237.518374580117,24
654,412,863.187534147214,6
654,413,893.710579386588,3
654,458,737.551385331186,2174
654,459,744.811467239112,247
654,460,787.842899580895,31
654,506,633.099449741027,1217
654,553,520.477944648117,37120
654,554,504.676761604414,1906
654,602,403.036761604414,30548
654,607,126.797961544297,58
654,650,291.788645401063,102750
654,651,329.110299252617,4820
654,653,48.0438193868084,1238
654,655,59.9638193868084,85315
654,656,95.7238193868084,10700
654,699,213.217187240638,88311
654,700,161.814514161233,63215
654,701,114.04066473812,71165
654,702,84.0973118633863,87405
654,703,92.0498302837385,62540
654,704,135.737187240638,27859
654,705,191.978333548041,4
654,747,275.855178899352,3829
654,748,234.990254237216,4794
654,749,201.893686406847,1925
654,750,159.891935590159,608
654,751,202.59258527107,34
654,752,225.756716589013,143
654,753,266.418133795475,2
655,412,923.151353534022,1
655,458,797.515204717994,602
655,459,804.775286625921,30
655,460,847.806718967704,3
655,506,693.063269127836,462
655,553,580.441764034926,35286
655,554,564.640580991222,1935
655,602,463.000580991222,31321
655,607,93.3373118633862,68
655,650,351.752464787872,115061
655,651,389.074118639425,5672
655,653,108.007638773617,1159
655,654,59.9638193868084,50462
655,656,35.76,9372
655,699,273.181006627446,98691
655,700,219.904826014255,67235
655,701,164.636946455996,70508
655,702,118.376066908102,91364
655,703,92.4,69909
655,704,115.802544317107,24436
655,705,169.017750874073,2
655,747,326.451460617229,2250
655,748,285.586535955093,3022
655,749,241.899178998193,1452
655,750,190.898269179657,508
655,751,206.091935590159,27
655,752,221.893118633862,91
656,458,833.275204717994,665
656,459,840.535286625921,37
656,506,728.823269127836,366
656,553,616.201764034926,32213
656,554,600.400580991222,1672
656,602,498.760580991222,31891
656,607,97.0865593169312,3670
656,650,387.512464787872,115950
656,651,424.834118639425,6392
656,653,143.767638773617,2231
656,654,95.7238193868084,42146
656,655,35.76,95476
656,699,308.941006627446,124593
656,700,255.664826014255,84076
656,701,192.902916320851,84152
656,702,141.382051830165,68488
656,703,99.6600819079262,50954
656,704,104.451935590159,20062
656,705,152.063645452884,1
656,747,352.843922948297,3929
656,748,310.105490752374,4691
656,749,266.418133795475,2329
656,750,206.339404725627,453
656,751,206.091935590159,16
656,752,216.269247453545,53
685,547,496.975381108722,136
685,594,387.512464787872,7810
685,595,437.990555094467,689
685,638,133.209066897738,178077
685,639,171.497187240638,426926
685,640,231.097187240638,160628
685,641,281.575277547234,76599
685,642,331.689548467021,16137
685,686,59.9638193868084,51270
685,687,116.401909693404,78406
685,689,364.727765853169,13
685,690,362.154243262174,1122
685,691,420.720002456804,312
685,733,115.566559316931,76
685,734,124.806559316931,26
686,594,340.19628417468,13705
686,595,390.674374481276,1413
686,638,124.806559316931,13405
686,639,137.295559363951,224485
686,640,183.781006627446,241486
686,641,234.259096934042,151521
686,642,284.37336785383,53240
